
2021-12-06 03:19			适配1.11.3

2020-11-22 09:27			适配1.10.2

2020-04-16 10:37			适配1.9.1

2020-01-10 20:35			适配1.8.1

2019-06-06 17:53			适配1.7.0

2019-03-10 11:05			适配1.6.0

2019-03-07 01:00			添加开启特种部队科技

2018-04-08 16:46			适配1.5.1

2017-06-23 01:32			适配1.4.0

2016-12-28 08:02			适配1.3.1
2016-10-04 21:21			适配1.2.1
2016-10-04 11:50			修订armyEvent文件为UTF-8 with BOM编码
2016-10-04 00:15			修订代码AI=ON为is_ai=no
2016-09-18 16:57			修改版本号适配1.2
2016-08-03 05:30			本Mod所有具有相斥性的科技开启功能均已实现。
2016-07-23 03:07			陆军所有科技互斥性移除功能全部实现
2016-07-23 03:06			修复机动作战科技树中所有科技重复出现开启按钮
2016-07-23 00:50			修复优势火力科技树中所有科技重复出现开启按钮
2016-07-22 11:13			修复堑壕战科技树中所有科技重复出现开启按钮
2016-07-22 07:39			修复人海突击科技树中所有科技重复出现开启按钮
2016-07-22 07:11			完成人海突击科技树
2016-07-22 03:43			完成战壕战科技树
2016-07-22 01:28			完成机动作战科技树、优势火力科技树

